Open,High,Low,Close,Volume,TradingDate
46200.0,46200.0,45400.0,46000.0,537923,2023-01-03
46000.0,48000.0,46000.0,46000.0,487202,2023-01-04
46950.0,46950.0,46000.0,46050.0,552071,2023-01-05
47200.0,47700.0,46550.0,46600.0,362661,2023-01-06
46800.0,47400.0,46800.0,47300.0,269161,2023-01-09
47400.0,48000.0,47100.0,47950.0,486261,2023-01-10
48000.0,48050.0,47500.0,47500.0,260228,2023-01-11
48000.0,48000.0,47300.0,47750.0,94094,2023-01-12
47950.0,47950.0,47200.0,47750.0,131540,2023-01-13
47800.0,47800.0,47000.0,47000.0,417710,2023-01-16
47400.0,48600.0,47300.0,48000.0,822304,2023-01-17
48150.0,49000.0,47950.0,48800.0,714436,2023-01-18
49100.0,51200.0,48950.0,51100.0,923168,2023-01-19
51600.0,52300.0,51100.0,51900.0,734360,2023-01-27
52000.0,52200.0,51000.0,51600.0,662361,2023-01-30
52000.0,53500.0,51400.0,53000.0,1188177,2023-01-31
53900.0,54000.0,51400.0,51500.0,946030,2023-02-01
51200.0,53000.0,51200.0,53000.0,782192,2023-02-02
53100.0,54600.0,51500.0,54600.0,3204652,2023-02-03
53200.0,56200.0,52600.0,56200.0,856230,2023-02-06
55200.0,55900.0,53600.0,53600.0,353968,2023-02-07
54100.0,54100.0,52100.0,52100.0,482585,2023-02-08
52500.0,54100.0,52100.0,53800.0,533192,2023-02-09
53800.0,53800.0,52600.0,52600.0,215554,2023-02-10
53000.0,53000.0,50700.0,52000.0,438608,2023-02-13
52800.0,52800.0,51700.0,51700.0,215222,2023-02-14
52600.0,52600.0,51600.0,51700.0,199099,2023-02-15
51700.0,53000.0,51700.0,52200.0,194714,2023-02-16
52800.0,53800.0,52100.0,52100.0,543079,2023-02-17
52500.0,54100.0,52100.0,53500.0,955581,2023-02-20
53600.0,54200.0,53300.0,53500.0,871646,2023-02-21
53600.0,54600.0,53400.0,53500.0,1353314,2023-02-22
53200.0,53500.0,51200.0,52200.0,778792,2023-02-23
52600.0,53000.0,51500.0,51500.0,401008,2023-02-24
50900.0,51000.0,48700.0,48700.0,583199,2023-02-27
49000.0,49700.0,48650.0,48900.0,568400,2023-02-28
48900.0,50500.0,48600.0,50500.0,188928,2023-03-01
